Налог број:;;;;;;;3002;;;;;;;;;;;;;;;;;;
Датум:;;;;28.02.2026;;;;;;;;;;;;;;;;;;;;;
Опис:;;;;;;;;;;;;;;;;;;;;;;;;;
;Р.Бр.;;Број;;;Опис;;Сметка;;;Вид док.;;Партнер;;Должи;;;;Побарува;;Состојба;;;;Датум
;1;11;;;;;;4460;;Извод;;ТУТУНСКА БАНКА;;750;;;;0;;750;;;;02.02.2026;
;2;11;;;;;;4460;;Извод;;ТУТУНСКА БАНКА;;100;;;;0;;850;;;;02.02.2026;
;3;11;;;;;;1000;;Извод;;ТУТУНСКА БАНКА;;0;;;;850;;0;;;;02.02.2026;
;4;12;;;;;;4460;;Извод;;ТУТУНСКА БАНКА;;264;;;;0;;264;;;;12.02.2026;
;5;12;;;;;;4460;;Извод;;ТУТУНСКА БАНКА;;40;;;;0;;304;;;;12.02.2026;
;6;12;;;;;;1000;;Извод;;ТУТУНСКА БАНКА;;0;;;;304;;0;;;;12.02.2026;
;7;13;;;;;;1200;;Извод;;ЕУРО-ПРОФИЛ ДООЕЛ СКОПЈЕ -;;0;;;;20.000;;-20.000;;;;18.02.2026;
;8;13;;;;;;1000;;Извод;;ТУТУНСКА БАНКА;;20.000;;;;0;;0;;;;18.02.2026;
;9;14;;;;;;1009;;Извод;;Материјални трошоци;;20.000;;;;0;;20.000;;;;19.02.2026;
;10;14;;;;;;4460;;Извод;;ТУТУНСКА БАНКА;;7;;;;0;;20.007;;;;19.02.2026;
;11;14;;;;;;1000;;Извод;;ТУТУНСКА БАНКА;;0;;;;20.007;;0;;;;19.02.2026;
;12;15;;;;;;4460;;Извод;;ТУТУНСКА БАНКА;;300;;;;0;;300;;;;23.02.2026;
;13;15;;;;;;1000;;Извод;;ТУТУНСКА БАНКА;;0;;;;300;;0;;;;23.02.2026;
;;;;;;;;;;;;;;;;;Должи:;;;;;41.461,00;;;
;;;;;;;;;;;;;;;;;Побарува:;;;;;41.461,00;;;
;;;;;;;;;;;;;;;;Салдо:;;;;;;0,00;;;
;;;;;;;;;ЕЛЕКТРО МЕ-НА ДООЕЛ, Ул.Благоја Стефковски бр. 111А, СКОПЈЕ-1000, MK4027011514030;;;;;;;;;;;;;;1/1;;
